num_clients,num_epochs,queue_size_mean,queue_size_max,queue_size_min,latency_mean,latency_max,latency_min,tasks_total,tasks_failed,fail_rate
1,898,0.0,0,0,17.897959183673468,25,11,49,0,0.0
2,1041,0.16666666666666666,1,0,20.77777777777778,44,11,99,0,0.0
3,1245,0.35545023696682465,2,0,23.684563758389263,51,11,149,0,0.0
4,1432,0.5907590759075908,3,0,27.115577889447238,63,11,199,0,0.0
5,1587,0.7822784810126582,4,0,29.863453815261042,81,11,249,0,0.0
6,1756,1.040485829959514,5,0,34.01003344481605,88,11,299,0,0.0
7,1976,1.271043771043771,5,0,37.578796561604584,202,11,349,0,0.0
8,2273,1.4949348769898698,6,0,41.55137844611529,213,11,399,0,0.0
9,2587,1.7644171779141105,7,0,47.85300668151448,335,11,449,0,0.0
10,2804,1.9914802981895634,8,0,51.98795180722892,348,11,499,1,0.002004008016032064
11,3144,2.1689623507805327,9,0,57.16240875912409,291,11,549,1,0.0018214936247723133
12,3500,2.508744038155803,10,0,62.94453781512605,319,11,599,4,0.00667779632721202
13,3708,2.768361581920904,11,0,68.42790697674418,347,11,649,4,0.0061633281972265025
14,3996,2.9539141414141414,11,0,71.84370477568741,343,11,699,8,0.011444921316165951
15,4382,3.1803185437997725,12,0,79.7627345844504,349,11,749,3,0.004005340453938585
16,4706,3.38851526125194,12,0,82.45928753180661,349,11,799,13,0.016270337922403004
17,5260,3.5902618282039502,12,0,89.2074788902292,349,11,849,20,0.023557126030624265
18,5930,4.126147704590818,12,0,98.7995337995338,349,11,899,41,0.04560622914349277
19,6189,4.439179104477612,12,0,96.45578231292517,341,11,949,67,0.07060063224446786
20,6517,4.626279863481229,12,0,106.39935414424112,348,11,999,70,0.07007007007007007
21,6975,4.829733163913596,12,0,110.19415448851774,349,11,1049,91,0.08674928503336511
22,7703,4.997984451482868,12,0,116.55112474437628,349,11,1099,121,0.11010009099181074
23,8410,5.363375879135192,12,0,119.64632885211996,349,11,1149,182,0.15839860748476936
24,9124,5.925380228136882,12,0,125.70052356020942,349,11,1199,244,0.20350291909924936
25,9855,6.282029048341643,12,0,137.304531085353,349,11,1249,300,0.2401921537229784
26,10636,6.732883508632665,12,0,135.0487528344671,349,12,1299,417,0.3210161662817552
27,11449,7.048092569155668,12,0,147.4208633093525,348,11,1349,515,0.38176426982950334
28,12023,7.430325034578146,12,0,148.46898263027296,349,11,1399,593,0.42387419585418157
29,12700,7.747247409326425,12,0,146.6586402266289,349,11,1449,743,0.5127674258109041
30,13304,8.240706886045094,12,0,149.8894472361809,349,12,1499,902,0.6017344896597732
31,14531,8.733939818054584,12,0,153.57906976744187,349,11,1549,1119,0.7224015493867011
32,14970,9.416396979503775,12,0,147.59022556390977,350,12,1599,1333,0.83364602876798
33,14847,9.950620615218565,12,0,138.31543624161074,350,15,1649,1500,0.9096422073984233
34,14356,10.42646023926812,12,0,142.72972972972974,350,14,1699,1588,0.9346674514420247
35,13596,10.584271327014218,12,0,113.64197530864197,350,13,1749,1668,0.9536878216123499
36,13113,10.617547111523015,12,0,103.27,318,11,1799,1699,0.9444135630906059
37,12735,10.803774188389573,12,0,116.29166666666667,344,13,1849,1777,0.961060032449973
38,12480,10.842540093957558,12,0,121.19117647058823,344,12,1899,1831,0.9641916798314902
39,12447,10.878990228013029,12,0,113.40322580645162,330,11,1949,1887,0.9681888147768086
